grammar_id,grammar_name,total_count,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,first_seen,tags,variants
G0001,た形・ました：过去/完成,1543,141,161,160,139,187,186,182,208,156,23,E01-0003-1,活用,だった;ました
G0002,句末か：疑问/确认,789,89,57,90,57,90,104,104,91,98,9,E01-0003-1,终助词,ですか;そうか
G0003,そうか・そっか：理解/确认,475,9,74,60,49,41,42,68,47,69,16,E01-0004-1,口语,そうか;そっか;そうなんだ
G0004,の：名词修饰,985,126,122,94,70,111,113,118,104,113,14,E01-0005-1,助词,N1のN2
G0005,によって：依据/因……而异/动作主体,4,2,1,0,1,0,0,0,0,0,0,E01-0005-1,复合助词,によって;により;による;Nによって違う
G0006,受身形：被动,177,30,26,9,10,19,18,20,27,15,3,E01-0006-1,活用,れる;られる;される
G0007,连体修饰：修饰名词,196,29,19,17,21,38,37,8,8,18,1,E01-0006-1,句型,普通形＋名词
G0008,で：场所/手段/原因/状态,449,54,39,47,46,60,53,66,40,38,6,E01-0006-1,助词,Nで
G0009,以上：超过/数量下限/范围终点,24,6,0,6,2,3,1,4,2,0,0,E01-0006-1,名词/接尾,数量＋以上;これ以上;思った以上;以上です
G0010,が：主语/焦点,717,84,84,57,64,100,65,73,100,80,10,E01-0006-1,助词,Nが
G0011,も：也/连同,364,46,42,39,31,41,36,36,40,47,6,E01-0007-1,助词,Nも
G0012,丁寧体：です・ます・ございます,2369,289,190,266,210,366,287,289,138,279,55,E01-0007-1,语体,です;ます;ございます;ました
G0013,は：主题/对比,861,111,89,86,93,88,90,64,116,105,19,E01-0008-1,助词,Nは;までは
G0014,まで：终点/截止,52,7,8,2,5,2,7,10,7,4,0,E01-0008-1,助词,Nまで;までは
G0015,に伴う：伴随/随着,2,1,0,0,0,0,1,0,0,0,0,E01-0010-1,书面句型,に伴い;に伴って
G0016,と：并列/引用基础,118,17,8,14,8,12,17,15,17,8,2,E01-0011-1,助词,AとB
G0017,に：到达点/对象,583,78,75,45,49,61,57,53,73,80,12,E01-0013-1,助词,Nに
G0018,省略疑问/名词句省略,67,21,5,0,3,2,9,17,9,0,1,E01-0013-1,口语,だ/です/あるの省略
G0019,けど：转折/铺垫,497,65,54,48,47,74,47,59,45,51,7,E01-0015-1,接续,けれど;けれども;だけど
G0020,そんなに＋否定：并不那么,2,1,0,0,0,0,0,0,0,1,0,E01-0015-1,副词句型,そんなにVない
G0021,ない形：否定,746,125,115,80,67,76,70,73,73,60,7,E01-0015-1,活用,ない;なくて;ではない
G0022,イ形容词く＋なる・なんない,29,4,4,2,2,1,3,2,4,7,0,E01-0015-1,变化,遅くなる;ならない;なんない
G0023,と思う：引用内容＋认为,211,17,25,17,26,30,16,21,20,34,5,E01-0015-1,引用,と思います;って思う
G0024,てくる：回来/朝说话人/持续到现在,146,17,26,20,16,15,19,11,11,11,0,E01-0017-1,补助动词,行ってくる;てきます;受け持ってきた
G0025,いってらっしゃい：送别人出门,29,9,3,6,3,0,6,1,0,1,0,E01-0018-1,寒暄,いってらっしゃいませ
G0026,から：起点,135,20,15,9,11,14,16,17,20,10,3,E01-0023-1,助词,Nから
G0027,くらい：大约/程度,93,7,10,8,5,11,12,14,12,12,2,E01-0024-1,副助词,ぐらい
G0028,ため・ための：目的/原因,21,2,3,2,1,2,3,1,2,5,0,E01-0025-1,句型,Nのため;Vるために;ためのN
G0029,名词＋する：动作化,182,36,23,23,15,6,15,5,43,8,8,E01-0025-1,动词构成,出勤する;後悔する
G0030,ている・てる・てます：进行/结果状态,902,99,118,95,76,89,103,95,120,97,10,E01-0025-1,补助动词,ている;てる;ています;てます
G0031,を：宾语,343,37,36,21,32,39,42,47,42,43,4,E01-0027-1,助词,NをV
G0032,そうだ・そうな：样态/看起来,52,2,10,4,2,15,4,6,1,4,4,E01-0027-1,助动词,Vます形＋そう;イ形容词词干＋そう
G0033,気がする：觉得/有感觉,14,2,0,1,3,3,1,3,0,1,0,E01-0027-1,句型,ような気がする
G0034,ね・よね：确认/共感,1246,117,162,158,96,157,167,124,104,129,32,E01-0031-1,终助词,ね;よね
